set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,139.1,1.91,387.0,-4,-2.09,1.0,4.0,298.0,0.1,-6.25
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.128,-7.478244597674998
t,171.03,2.92,270.0,-5.586217237906348,-2.6662172379063485,0.0,0.0,305.0,0.075,-7.13133703150281
t,108.1,1.04,258.0,-3.3979400086720375,-2.3579400086720375,1.0,1.0,298.0,0.1,-5.62
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.128,-8.009658933572874
t,184.27,3.67,183.0,-6.18531356201768,-2.5153135620176803,0.0,2.0,305.0,0.075,-8.29820363528533
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.128,-6.282079539499074
t,134.18,1.791,304.5,-4.803176123288123,-3.012176123288123,1.0,1.0,305.0,0.075,-6.346475286782354
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.128,-6.511059609708623
t,117.15,1.87,301.0,-5.000298986188565,-3.130298986188565,0.0,1.0,305.0,0.075,-6.3436594844813765
t*,164.24,2.89,310.95,-5.344408145578639,-2.454408145578639,1.0,1.0,310.0,0.1,-6.2913297020952195
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.128,-7.143573851798894
t,154.25,3.56,258.0,-6.129559481210065,-2.5695594812100646,1.0,1.0,305.0,0.075,-7.116178861415045
t,173.0,2.49,337.0,-4.060480747381382,-1.570480747381381,1.0,1.0,298.0,0.1,-5.5
t,108.1,1.94,309.0,-3.721246399047171,-1.781246399047171,1.0,1.0,298.0,0.1,-5.47
t,108.1,1.95,309.0,-3.6020599913279625,-1.6520599913279623,1.0,1.0,310.0,0.01,-4.522878745280337
t,128.6,2.43,317.0,-3.721246399047171,-1.2912463990471708,1.0,1.0,298.0,0.1,-5.17
t,108.1,-0.25,419.0,-3.3467874862246565,-3.5967874862246565,4.0,2.0,305.0,0.1,-6.966576244513051
t,108.1,1.96,285.0,-3.638272163982407,-1.6782721639824072,1.0,1.0,298.0,0.1,-5.45
t,110.1,0.76,384.0,-2.1870866433571443,-1.4270866433571443,2.0,2.0,298.0,0.1,-5.81
t,110.11,0.8,384.0,-2.0390366652074574,-1.2390366652074571,2.0,2.0,310.0,0.1,-5.109036665207458
t,110.11,0.8,384.0,-2.0989912289303554,-1.2989912289303551,2.0,2.0,305.0,0.128,-4.455419309538485
t,110.11,0.8,384.0,-2.0989912289303554,-1.2989912289303551,2.0,2.0,305.0,0.075,-4.5192238898043495
t,126.11,0.16,491.5,-3.8641972174800743,-3.704197217480074,3.0,3.0,310.0,0.1,-6.3741972174800745
t,92.1,2.68,178.0,-5.2441251443275085,-2.564125144327508,0.0,0.0,310.0,0.01,-5.325047051951435
t,94.1,1.48,314.0,-2.9208187539523753,-1.4408187539523751,1.0,1.0,310.0,0.1,-4.6307841425898575
t,94.1,1.48,314.0,-3.0861861476162833,-1.6061861476162833,1.0,1.0,295.0,0.1,-6.914108890646803
t,94.1,1.48,314.0,-3.0809219076239263,-1.600921907623926,1.0,1.0,298.0,0.1,-5.17
t,94.11,1.46,314.0,-2.9208187539523753,-1.4608187539523751,1.0,1.0,310.0,0.1,-4.950818753952375
t,90.1,-0.27,183.0,-1.9913998282380825,-2.27,1.0,2.0,303.0,0.1,-5.58
t,102.2,1.94,228.0,-4.236572006437063,-2.2965720064370627,1.0,1.0,298.0,0.1,-6.13
t,102.2,1.989,228.4,-4.118560566771834,-2.129560566771834,1.0,1.0,310.0,0.1,-6.004617214464997
t,102.2,1.989,228.4,-4.238598884156549,-2.2495988841565495,1.0,1.0,308.0,0.1,-5.236572006437063
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-4.386221583406459
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-4.194336057167545
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-4.475162666743239
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-4.4196453388934085
t,118.17,0.83,198.2,-2.1186153432294272,-1.2891864077192086,1.0,2.0,310.0,0.1,-4.402611999594628
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,298.0,0.1,-6.67
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,303.0,0.1,-6.6
t,130.2,3.1501421618485588,258.0,-5.3872161432802645,-2.2370739814317053,1.0,1.0,298.0,0.1,-6.542118103266008
t,130.2,3.0,258.0,-5.3872161432802645,-2.3872161432802645,1.0,1.0,310.0,0.1,-6.671212799645465
t,130.2,3.1501421618485588,258.0,-5.3872161432802645,-2.2370739814317053,1.0,1.0,308.0,0.1,-5.167491087293763
t,158.3,4.06,279.0,-6.638272163982407,-2.578272163982407,1.0,1.0,298.0,0.1,-7.73
t,158.28,3.9,279.0,-6.631224317526996,-2.731224317526996,1.0,1.0,310.0,0.1,-8.589831632368771
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-8.54136215097435
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-8.434152181326482
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-8.517698232776556
t,158.28,3.9,279.0,-6.638272163982407,-2.738272163982407,1.0,1.0,310.0,0.1,-8.392759496168257
t,158.3,4.239999792886872,279.0,-6.638272163982407,-2.3982723710955347,1.0,1.0,298.0,0.1,-7.684029654543083
t,158.28,4.06,279.0,-6.638272163982407,-2.578272163982407,1.0,1.0,310.0,0.1,-7.735182176990463
t,158.3,4.239999792886872,279.0,-6.638272163982407,-2.3982723710955347,1.0,1.0,308.0,0.1,-6.045757490560675
t,162.23,0.6,162.9,-2.179780215125727,-1.579780215125727,1.0,3.0,305.0,0.128,-4.346663265681909
t,162.23,0.6,162.9,-2.179780215125727,-1.579780215125727,1.0,3.0,305.0,0.075,-4.4157805721415775
t,282.45999,7.73,286.5,-10.036207993830947,-2.306207993830945,1.0,2.0,310.0,0.1,-12.92226464152411
t,390.56,5.03,223.0,-8.90058282882991,-3.870582828829908,0.0,4.0,310.0,0.1,-12.997492841837966
t,154.1,0.96,399.0,-4.051940329512179,-3.0919403295121795,3.0,5.0,305.0,0.1,-8.117441878268611
t,152.0,2.23,265.0,-5.014526253196596,-2.7845262531965966,1.0,3.0,305.0,0.1,-6.458223752429309
t,182.218,3.18,323.0,-6.05042490084487,-2.8704249008448697,0.0,1.0,305.0,0.128,-7.188646499131085
t,182.218,3.18,323.0,-6.05042490084487,-2.8704249008448697,0.0,1.0,305.0,0.075,-7.299631034042328
t,110.11,0.88,378.0,-2.233156003950645,-1.353156003950645,2.0,2.0,310.0,0.1,-4.743156003950645
t,163.0,3.06,318.0,-4.508638306165727,-1.4486383061657269,1.0,1.0,298.0,0.1,-5.73
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-5.580338142244139
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-5.80157906183559
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-5.710170389576811
t,163.0,3.1,315.5,-4.558975090628614,-1.4589750906286139,1.0,1.0,310.0,0.1,-5.738773631142974
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-9.013667007580244
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-8.89224484469478
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-8.769962351730221
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-8.803173008841009
t,250.33,5.29,325.5,-6.982149956134179,-1.692149956134178,1.0,3.0,310.0,0.1,-8.96096065706424
t,146.19,2.149,313.0,-4.948238551133147,-2.799238551133147,0.0,1.0,305.0,0.128,-6.066872309773915
t,146.19,2.149,313.0,-4.948238551133147,-2.799238551133147,0.0,1.0,305.0,0.075,-6.356187281907684
t,122.2,2.47,318.0,-4.3872161432802645,-1.917216143280264,1.0,1.0,298.0,0.1,-5.85
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,303.0,0.1,-9.129441012722962
t,110.11,0.59,445.3,-3.013713666292874,-2.423713666292874,2.0,2.0,310.0,0.1,-5.9637136662928745
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,305.0,0.128,-6.541880581222386
t,110.11,0.62,446.5,-4.099322656469463,-3.479322656469463,2.0,2.0,305.0,0.075,-6.00317404860277
t,394.5,1.03,543.0,-6.698970004336019,-5.6689700043360185,4.0,6.0,298.0,0.01,-12.09
t,194.18,1.69,278.5,-4.611090127243277,-2.9210901272432768,0.0,4.0,305.0,0.128,-6.258911166777459
t,194.18,1.69,278.5,-4.611090127243277,-2.9210901272432768,0.0,4.0,305.0,0.075,-6.163674963153337
t,144.2,2.71,396.0,-5.161150909262744,-2.4511509092627444,1.0,1.0,298.0,0.1,-6.71
t,144.0,2.71,396.0,-5.082195552750317,-2.3721955527503167,1.0,1.0,305.0,0.1,-6.282855003296735
t,248.32,-0.33,442.0,-6.644199439717527,-6.974199439717527,3.0,4.0,310.0,0.1,-10.347534249455995
t,249.0,0.65,381.0,-2.457972971184475,-1.8079729711844748,2.0,3.0,310.0,0.1,-5.244614617560083
t,234.0,2.4800069429571505,342.0,-4.6777807052660805,-2.19777376230893,1.0,3.0,298.0,0.1,-7.200659450546419
t,234.0,2.4800069429571505,342.0,-4.6777807052660805,-2.19777376230893,1.0,3.0,298.0,0.1,-7.200659450546419
t*,234.33,2.48,342.0,-4.790044295908518,-2.3100442959085177,1.0,3.0,298.0,0.1,-7.187984304580556
t,172.178,1.072,263.0,-5.217278171285895,-4.145278171285895,0.0,4.0,305.0,0.128,-6.803362331530985
t,172.178,1.072,263.0,-5.217278171285895,-4.145278171285895,0.0,4.0,305.0,0.075,-6.884679147752568
t,166.17,1.63,330.0,-4.0740449726105386,-2.444044972610539,1.0,3.0,310.0,0.01,-5.773014976946558
t,144.0,3.53,268.0,-6.013228265733755,-2.483228265733755,1.0,1.0,298.0,0.1,-7.23
t,144.26,3.53,268.0,-6.013228265733755,-2.483228265733755,1.0,1.0,310.0,0.1,-7.235077015350112
t,132.16,2.123,265.0,-4.908554289290027,-2.7855542892900265,0.0,1.0,305.0,0.128,-6.292889275533236
t,132.16,2.123,265.0,-4.908554289290027,-2.7855542892900265,0.0,1.0,305.0,0.075,-6.461633001838787
t,316.5,4.52,466.0,-7.823908740944319,-3.303908740944319,1.0,2.0,299.0,0.1,-10.647817481888637
t,332.5,3.75,541.5,-4.807929458658187,-1.0579294586581862,2.0,3.0,299.0,0.1,-8.029778208274543
t,194.18,-2.5,431.0,-1.9976531768566925,-4.497653176856693,4.0,6.0,310.0,0.1,-5.677922682526468
t,150.0,3.54,295.0,-5.78076486598633,-2.2407648659863297,1.0,1.0,305.0,0.1,-6.8954036459548185
t,341.4,1.92,442.0,-5.539622692604534,-3.619622692604534,2.0,5.0,310.0,0.1,-8.206063472113632
t,151.2,-0.09,450.0,-3.853871964321762,-3.943871964321762,3.0,3.0,310.0,0.01,-7.200659450546419
t,152.19,2.37,328.0,-4.646370882143489,-2.2763708821434885,1.0,2.0,305.0,0.1,-6.470279623087808
t,152.19,2.37,328.0,-4.646370882143489,-2.2763708821434885,1.0,2.0,305.0,0.1,-6.472268751925251
t,476.6,3.98,457.0,-7.721246399047171,-3.7412463990471707,2.0,6.0,298.0,0.01,-10.601660624085387
t*,462.5,2.113943352306837,444.0,-6.713324315309428,-4.5993809630025915,3.0,8.0,310.0,0.01,-9.913983765855846
t,198.02,3.48,316.0,-5.622794962086061,-2.142794962086061,0.0,2.0,305.0,0.128,-7.3741447633560915
t,198.02,3.48,316.0,-5.622794962086061,-2.142794962086061,0.0,2.0,305.0,0.075,-7.463800561111572
t,316.42,1.83,345.0,-5.889192821777605,-4.0591928217776045,2.0,8.0,310.0,0.1,-9.424405302131667
